SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,May-22-2023,Single Family Residential,27712 Pacific Coast Hwy,Malibu,CA,90265,190000000,7,11.0,Malibu Beach,,257888,,,,,Sold,,,https://www.redfin.com/CA/Malibu/27712-Pacific-Coast-Hwy-90265/home/6855686,TheMLS,23-308929,N,Y,34.0245206,-118.7771425
PAST SALE,October-18-2022,Single Family Residential,27628 Pacific Coast Hwy,Malibu,CA,90265,100000000,8,12.0,Malibu Beach,10698,156504,2001,,9348,,Sold,,,https://www.redfin.com/CA/Malibu/27628-Pacific-Coast-Hwy-90265/home/6855682,TheMLS,22-157481,N,Y,34.0244275,-118.7755278
PAST SALE,December-21-2022,Single Family Residential,28060 Sea Lane Dr,Malibu,CA,90265,91000000,8,13.0,Malibu Beach,,292170,1975,,,,Sold,,,https://www.redfin.com/CA/Malibu/28060-Sea-Lane-Dr-90265/home/6855712,TheMLS,22-210429,N,Y,34.0225099,-118.7842329
PAST SALE,July-29-2025,Single Family Residential,28719 Grayfox St,Malibu,CA,90265,80000000,1,2.0,Malibu Beach,1314,58784,1956,,60883,,Sold,,,https://www.redfin.com/CA/Malibu/28719-Grayfox-St-90265/home/6856237,TheMLS,25578265,N,Y,34.0094038,-118.7949916
PAST SALE,July-3-2024,Single Family Residential,24186 Case Ct,Malibu,CA,90265,61000000,5,8.0,Malibu,10527,115941,2023,,5795,6382,Sold,,,https://www.redfin.com/CA/Malibu/24186-Case-St-90265/home/169936587,TheMLS,23-243691,N,Y,34.033234,-118.699086
PAST SALE,June-28-2021,Single Family Residential,21958 Pacific Coast Hwy,Malibu,CA,90265,51650000,5,7.0,Malibu Beach,5374,19092,2002,,9611,,Sold,,,https://www.redfin.com/CA/Malibu/21958-Pacific-Coast-Hwy-90265/home/8102664,TheMLS,21-722492,N,Y,34.0383069,-118.6530233
PAST SALE,,Single Family Residential,24198 Case St,Malibu,CA,90265,50000000,,,,,212695,,,,,,,,https://www.redfin.com/CA/Malibu/24198-Case-St-90265/home/169936589,,,N,Y,34.033577,-118.700836
PAST SALE,July-16-2025,Single Family Residential,29130 Cliffside Dr,Malibu,CA,90265,49750000,5,8.0,Malibu Beach,8000,44170,,,6219,,Sold,,,https://www.redfin.com/CA/Malibu/29130-Cliffside-Dr-90265/home/6857258,TheMLS,24-468303,N,Y,34.0058002,-118.8034501
PAST SALE,,Single Family Residential,7061 Birdview Ave,Malibu,CA,90265,49089500,6,9.0,,9130,52071,1995,,5377,,,,,https://www.redfin.com/CA/Malibu/7061-Birdview-Ave-90265/home/6857518,,,N,Y,34.0090525,-118.81331
PAST SALE,,Single Family Residential,32316 Pacific Coast Hwy,Malibu,CA,90265,45000000,5,3.0,,4088,53610,1962,,11008,,,,,https://www.redfin.com/CA/Malibu/32316-Pacific-Coast-Hwy-90265/home/6858934,,,N,Y,34.0388957,-118.8783935
PAST SALE,January-27-2022,Single Family Residential,27234 & 27242 Pacific Coast Hwy,Malibu,CA,90265,44500000,4,6.0,Malibu Beach,7160,25622,,,6215,,Sold,,,https://www.redfin.com/CA/Malibu/27234-Pacific-Coast-Hwy-90265/home/6855643,TheMLS,21-102011,N,Y,34.0253727,-118.7674046
PAST SALE,February-7-2022,Single Family Residential,31842 West Sea Level Dr,Malibu,CA,90265,42250000,5,7.0,Malibu Beach,10500,68056,1995,,4024,529,Sold,,,https://www.redfin.com/CA/Malibu/31842-Sea-Level-Dr-90265/home/6858926,TheMLS,21-751330,N,Y,34.0370436,-118.8697956
PAST SALE,January-14-2022,Single Family Residential,21808 Pacific Coast Hwy,Malibu,CA,90265,40000000,6,10.0,Malibu Beach,9508,21244,2005,,4207,,Sold,,,https://www.redfin.com/CA/Malibu/21808-Pacific-Coast-Hwy-90265/home/6852798,TheMLS,21-798640,N,Y,34.0377555,-118.6493131
